"d","Country","Deposit_Name","Resource_Type","Latitude","Longitude","Status","Status_Delay","Grade_percLi_Reserve","grade_resource","grade_resource_inferred","open_mine","reserve","resource_demostrated","resource_inferred","all_resource","cost1","cost2","cost3","max_prod_rate","max_ramp_up","cost_expansion","cost_opening","cost_source","prod_rate2022","prod_rate2023","prod_rate2025","prod_rate2030","delay_years","Resource_Type_orig","edb","wgi","Corporate_Tax_Rate","cost1_noTax","cost2_noTax","cost3_noTax","label_name"
23,"Australia","Wodgina","Hard Rock",-21.17,118.67,"Producing","Open",0.543493975903614,NA,NA,TRUE,825.56734939759,246.119228367783,0,1071.68657776537,62066.21671359,68854.7418983202,71914.187229403,53.5843288882687,13.3960822220672,19102.9684159287,0,"Regression",12.1337682608265,13.9692646644054,20.6650385121172,20.6650385121172,3,"Hard Rock",18.8,1.57,0.3,35436.0238765571,45133.9169976003,49504.5531848615,"Wodgina"
24,"Czech Republic","Cinovec","Hard Rock",50.73,13.7666666507721,"Evaluation","Evaluation",NA,0.207057043479289,0.181164658634538,FALSE,0,849.911097616295,0,849.911097616295,57102.6644854925,64850.438608588,65661.4709403921,42.4955548808148,10.6238887202037,19102.9684159287,126053693.925837,"Report",0,0,0,0,8,"Hard Rock",23.7,1.68,0.19,32381.8080067809,41946.9612451703,42948.2357288791,"Cinovec"
25,"United States","Clayton Valley (Century)","Volcano-Sedimentary",37.734579,-117.531291,"Evaluation","Evaluation",0.1129,0.09047,0.07596,FALSE,240.9,939,0,1179.9,43311.921772378,46758.3842577457,55638.0899457158,35.397,8.84925,82730.3782542635,2.5e+08,"Report",0,0,0,0,8,"Volcano-Sedimentary",16,2.54,0.25,19480.407696504,24075.6910103276,35915.2985942878,"Clayton Valley"
26,"Mexico","Sonora","Volcano-Sedimentary",29.710514,-109.154739,"Construction","Construction",0.3015,0.32,0.32,TRUE,391.337845154304,447.135896047645,0,838.473741201949,48616.0467317328,54610.6821011192,58857.148061701,25.1542122360585,6.28855305901462,82730.3782542635,0,"Report",0,0,0,0,5,"Volcano-Sedimentary",27.6,3.19,0.3,13909.6747707724,23501.0913617907,30295.4368987215,"Sonora"
27,"Argentina","Sal de Vida","Brine",-25.36,-66.86,"Construction","Construction",0.0757,0.0747409836065574,0.0556,TRUE,467,753,0,1220,54870.7278288868,54880.9135701791,55084.2105194589,12.2,3.05,56955.8377136237,0,"Report",0,0,1.87863986473793,8.38887845200075,5,"Brine",41,2.51,0.35,22178.3505059798,22194.0208771987,22506.7854145522,"Sal de Vida"
28,"Australia","Mt. Holland/Earl Grey","Hard Rock",-32.17,119.73,"Producing","Open",0.696787148594378,0.717028806509636,0.515622489959839,TRUE,656.373493975904,576.475234270415,0,1232.84872824632,52434.9831570837,56286.2581810016,61738.2126757217,61.6424364123159,15.410609103079,19102.9684159287,0,"Report",4.38437170057339,5.04760329651019,7.46702987037385,8.29663723464212,3,"Hard Rock",18.8,1.57,0.3,21677.1187958339,27178.9402585737,34967.4466796025,"Mt. Holland/Earl Grey"
29,"Argentina","Tres Quebradas","Brine",-27.49,-68.66,"Construction","Construction",0.079,NA,NA,TRUE,244.233892799134,507.255008121278,0,751.488900920411,51010.9621321,52439.0878988868,54926.5018546178,7.51488900920411,1.87872225230103,56955.8377136237,0,"Report",0,0,3.75727972947586,3.75727972947586,5,"Brine",41,2.51,0.35,16240.249434,18437.3659982874,22264.156699412,"Tres Quebradas"
30,"Argentina","Hombre Muerto West (Galan)","Brine",-25.37,-67.23,"Construction","Construction",0.08906,0.087833488372093,0.0887,TRUE,70.2,1005.66974110032,0,1075.86974110032,53069.1347286109,53082.1615446479,56759.7219728517,10.7586974110032,2.68967435275081,56955.8377136237,0,"Report",0,0,0,0,5,"Brine",41,2.51,0.35,19406.6688132475,19426.710068689,25084.4953428488,"Hombre Muerto West (Galan)"
31,"Serbia","Jadar","Volcano-Sedimentary",44.42,19.52,"Evaluation","Evaluation",0.840789825970549,0.81756358768407,0.868661311914324,FALSE,139.571111111111,574.496358768407,0,714.067469879518,47632.2553115907,56970.5830549568,61523.4813835663,21.4220240963855,5.35550602409639,82730.3782542635,2.5e+08,"Quantile",0,0,0,0,8,"Volcano-Sedimentary",24.3,2.67,0.15,30988.5356606949,41974.8035940668,47331.1545689016,"Jadar"
32,"Canada","Praire","Brine",50.44,-104.4,"No info","No Info",NA,0.0106,0.0101,FALSE,0,850,0,850,38358.2382658694,39877.1071190003,39883.1120856122,8.5,2.125,56955.8377136237,199701729.182192,"Report",0,0,0,0,10,"Brine",20.4,1.73,0.265,13804.5418583257,15871.0300938779,15879.2001164792,"Praire"
