"d","Country","Deposit_Name","Resource_Type","Latitude","Longitude","Status","Status_Delay","Grade_percLi_Reserve","grade_resource","grade_resource_inferred","open_mine","reserve","resource_demostrated","resource_inferred","all_resource","cost1","cost2","cost3","max_prod_rate","max_ramp_up","cost_expansion","cost_opening","cost_source","prod_rate2022","prod_rate2023","prod_rate2025","prod_rate2030","delay_years","Resource_Type_orig","edb","wgi","Corporate_Tax_Rate","cost1_noTax","cost2_noTax","cost3_noTax","label_name","wcr"
52,"United States","Smackover LANXESS","Brine",33.178,-92.72,"No info","No Info",NA,NA,NA,FALSE,0,0,590.32,590.32,44499.6400090404,46620.714554272,49023.2380336957,17.7096,4.4274,56955.8377136237,199701729.182192,"Quantile",0,0,0,0,10,"Other (Oilfield)",16,2.54,0.25,23639.2594564983,26467.3588501404,29670.723489372,"Smackover LANXESS",16.5
53,"Chile","Salar de Maricunga","Brine",-26.92,-69.07,"Evaluation","Evaluation",0.0976,0.0951515363128492,NA,FALSE,90,452,0,542,51706.5246443872,51732.5298491485,55707.4416537138,5.42,1.355,56955.8377136237,199701729.182192,"Report",0,0,0,0,8,"Brine",27.4,2.38,0.27,22223.884068288,22263.892075613,28379.1410057135,"",40.3
54,"United States","Kings Mountain/Bessemer City","Hard Rock",35.22,-81.35,"No info","No Info",NA,0.636398929049532,0.510977242302544,FALSE,0,269.869878885282,247.117477741224,516.987356626506,51852.8579556094,58878.4936783977,62516.0941368855,25.8493678313253,6.46234195783133,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,10,"Hard Rock",16,2.54,0.25,33650.4772741459,43017.9915711969,47868.1255158474,"",16.5
55,"France","Beauvoir","Hard Rock",46.18,2.95,"No info","No Info",NA,NA,NA,FALSE,0,0,510.977242302544,510.977242302544,52067.9458658565,55950.758627084,62604.1650225743,25.5488621151272,6.38721552878179,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,10,"Hard Rock",23.2,2.17,0.25,33748.191871142,38925.2755527787,47796.484080099,"",30.3
56,"Canada","La Corne(sayona)","Hard Rock",48.41,-77.81,"Producing","Open",0.445943775100402,NA,NA,TRUE,130.206291834003,230.636546184739,141.30843373494,502.151271753681,48135.170395,52101.4684428146,58433.4971982645,25.1075635876841,6.27689089692102,19102.9684159287,0,"Report",0.336773023617288,2.20197746211303,5.63591959421379,5.63591959421379,3,"Hard Rock",20.4,1.73,0.265,27106.4903333333,32502.814207911,41117.8193173666,"",22.3
57,"Germany","Zinnwald","Hard Rock",50.7363888888889,13.7652777777778,"Evaluation","Evaluation",NA,0.225759036144578,0.214145917001339,FALSE,0,429,71,500,66994.5722593575,75419.6532114263,75734.0137448759,25,6.25,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,8,"Hard Rock",20.3,1.89,0.3,34872.2460847964,46908.0760163233,47357.1624926799,"Zinnwald",27.3
58,"Australia","Mt. Marion","Hard Rock",-31.08,121.43,"Producing","Open",NA,0.622463186077644,0.641044176706827,TRUE,0,141.250253911822,312.237403384028,453.48765729585,63102.6660062887,67711.7798578406,72918.0604600205,22.6743828647925,5.66859571619813,19102.9684159287,0,"Quantile",13.2368381027199,15.239197815715,22.5436783768552,22.5436783768552,3,"Hard Rock",18.8,1.57,0.3,36916.6657232696,43501.1140826295,50938.6578000293,"",18.1
59,"United States","Great Salt Lake","Brine",40.79,-112.68,"No info","No Info",NA,NA,NA,FALSE,0,0,439.389,439.389,46888.4110681777,48728.5338294207,51154.7407868161,13.18167,3.2954175,56955.8377136237,199701729.182192,"Quantile",0,0,0,0,10,"Brine",16,2.54,0.25,23340.6014242369,25794.0984392276,29029.0410490881,"",16.5
60,"Canada","Clearwater","Brine",51.796,-113.88,"Evaluation","Evaluation",NA,NA,0.00746,FALSE,0,0,413.318895506226,413.318895506226,45209.6929785146,48044.5533215618,49353.6320648423,12.3995668651868,3.0998917162967,56955.8377136237,199701729.182192,"Report",0,0,0,0,8,"Other (Oilfield)",20.4,1.73,0.265,23126.24895036,26983.2017980432,28764.2613127106,"",22.3
61,"Canada","PAK/Spark","Hard Rock",52.59,-93.38,"Evaluation","Evaluation",0.720013386880857,0.725756518578946,0.622463186077644,FALSE,159.122958500669,36.6040870147256,213.543428380187,409.270473895582,49240.1834354144,56160.8115530321,59096.7079338149,20.4635236947791,5.11588092369478,19102.9684159287,126053693.925837,"Regression",0,0,0,0,8,"Hard Rock",20.4,1.73,0.265,28609.9094359379,38025.7300041253,42020.1468487278,"",22.3
