"t","Region","Scenario","Demand"
2023,"Australia/NZ","Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium",1293.08749079392
2023,"Australia/NZ","Ambitious-Double LFP-Baseline-Baseline-Baseline",1312.51551498467
2023,"Australia/NZ","Ambitious-Double NMC 811-Baseline-Baseline-Baseline",1313.55870353896
2023,"Australia/NZ","Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",1313.66037108761
2023,"Australia/NZ","Ambitious-Solid State adoption-Baseline-Baseline-Baseline",1313.66037108761
2023,"Brazil","Ambitious-Baseline-Baseline-Baseline-Baseline",1036.79110483568
2023,"Brazil","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",1036.75478671959
2023,"Brazil","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",1036.65084505609
2023,"Brazil","Ambitious-Baseline-Baseline-Baseline-USA Recycling",1036.79110483568
2023,"Brazil","Ambitious-Baseline-High Capacity-Baseline-Baseline",1045.84015877066
2023,"Brazil","Ambitious-Baseline-Low Capacity-Baseline-Baseline",1031.69666205225
2023,"Brazil","Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium",1031.55551598229
2023,"Brazil","Ambitious-Double LFP-Baseline-Baseline-Baseline",1036.18816105496
2023,"Brazil","Ambitious-Double NMC 811-Baseline-Baseline-Baseline",1036.49750617278
2023,"Brazil","Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",1036.79110483568
2023,"Brazil","Ambitious-Solid State adoption-Baseline-Baseline-Baseline",1036.79110483568
2023,"Canada","Ambitious-Baseline-Baseline-Baseline-Baseline",1638.56976775584
2023,"Canada","Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",1638.58312017446
2023,"Canada","Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",1637.13216563394
2023,"Canada","Ambitious-Baseline-Baseline-Baseline-USA Recycling",1638.56976775584
2023,"Canada","Ambitious-Baseline-High Capacity-Baseline-Baseline",1656.46287817335
2023,"Canada","Ambitious-Baseline-Low Capacity-Baseline-Baseline",1607.80499170555
2023,"Canada","Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium",1606.36738958366
2023,"Canada","Ambitious-Double LFP-Baseline-Baseline-Baseline",1637.83697167517
2023,"Canada","Ambitious-Double NMC 811-Baseline-Baseline-Baseline",1636.84918286725
2023,"Canada","Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",1638.56976775584
2023,"Canada","Ambitious-Solid State adoption-Baseline-Baseline-Baseline",1638.56976775584
2023,"China","Ambitious-Baseline-Baseline-Baseline-Baseline",55997.7723655771
